SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
09057;737;814;173;141;836;401;1304;28;219
09058;714;798;266;124;887;235;1307;49;156
09059;682;707;197;104;731;357;1244;46;99
09060;624;725;156;121;752;320;1221;21;107
09061;810;895;294;149;930;332;1594;39;72
09062;535;576;153;90;662;206;955;29;127
09063;547;585;131;90;671;240;1014;39;79
09064;566;638;120;126;686;272;1101;21;82
09065;919;1113;201;177;1158;496;1785;22;225
09066;667;756;183;108;839;293;1297;38;88
09067;647;806;168;123;818;344;1243;42;168
09068;753;803;194;125;882;355;1444;31;81
09069;409;517;108;68;449;301;835;12;79
09070;813;972;200;169;994;422;1435;55;295
09071;861;995;203;154;1023;476;1591;48;217
09072;666;785;179;117;815;340;1142;43;266
09073;738;807;125;146;920;354;1394;37;114
09074;731;882;193;153;822;445;1438;49;126
09075;681;809;186;148;820;336;1286;34;170
09076;629;780;160;114;778;357;1228;29;152
09077;698;901;194;130;837;438;1412;45;142
09078;682;785;179;143;807;338;1231;51;185
09079;738;858;186;159;869;382;1409;33;154
09080;643;681;140;112;729;343;1168;46;110
09081;808;986;247;145;1012;390;1538;45;211
09082;884;1040;269;167;1146;342;1627;62;235
09083;757;880;228;140;848;421;1402;64;171
09084;840;892;208;147;1025;352;1461;68;203
09085;769;910;177;143;957;402;1427;74;178
09086;663;786;193;133;774;349;1226;45;178
09087;596;681;124;106;698;349;1154;37;86
09088;894;1082;229;149;1062;536;1663;62;251
09089;657;824;170;118;745;448;1262;27;192
09090;746;888;180;135;896;423;1359;44;231
09091;880;982;216;177;1045;424;1610;34;218
09092;932;1025;210;169;1112;466;1736;35;186
09093;645;687;155;110;752;315;1213;29;90
09094;1010;1080;256;209;1169;456;1754;78;258
09095;1009;1121;276;199;1228;427;1831;63;236
09156;597;680;133;71;727;346;1139;35;103
10001;769;829;192;105;911;390;1311;69;218
10002;830;910;190;146;1071;333;1471;96;173
10003;768;825;195;144;931;323;1377;74;142
10004;697;835;193;94;846;399;1323;70;139
10005;744;876;150;122;973;375;1393;46;181
10006;802;938;182;137;996;425;1500;58;182
10007;654;688;123;95;747;377;1220;38;84
10008;774;925;170;119;948;462;1379;109;211
10009;724;833;154;92;905;406;1331;73;153
10010;768;921;179;125;970;415;1381;77;231
10011;561;646;121;101;715;270;1050;53;104
10012;894;1006;217;168;1090;425;1552;110;238
10013;629;753;155;109;792;326;1146;78;158
10014;668;756;125;113;848;338;1151;81;192
10015;861;980;177;137;1078;449;1499;103;239
10016;627;670;131;125;770;271;1076;65;156
10017;794;933;206;122;942;457;1427;65;235
10018;667;735;153;119;863;267;1100;81;221
10019;771;880;150;137;974;390;1387;68;196
10020;681;777;168;102;770;418;1222;51;185
10021;623;697;152;119;737;312;1103;64;153
10022;608;674;138;128;761;255;1098;74;110
10023;669;794;170;139;792;362;1245;67;151
10024;714;745;202;129;877;251;1203;59;197
10025;615;766;166;121;801;293;1151;65;165
10026;726;798;205;134;927;258;1228;93;203
10027;740;813;174;163;905;311;1398;46;109
10028;873;950;218;218;1077;310;1554;59;210
10029;716;782;198;131;867;302;1316;55;127
10030;823;926;221;135;957;436;1579;31;139
10031;755;807;168;123;929;342;1317;70;175
10032;698;760;183;153;970;152;1243;66;149
10033;393;498;71;91;408;321;865;10;16
10034;849;886;224;127;895;489;1557;47;131
10035;981;1034;357;191;1142;325;1898;30;87
10036;737;733;263;180;912;115;1311;68;91
10037;496;548;119;96;608;221;784;75;185
10038;792;831;202;141;974;306;1334;118;171
10039;818;966;230;165;1094;295;1377;137;270
10040;933;977;223;177;1090;420;1513;92;305
10041;767;800;169;109;925;364;1282;93;192
10042;1228;1314;439;160;1629;314;1951;189;402
10043;1070;1077;308;266;1353;220;1424;255;468
10044;732;783;151;112;904;348;1233;125;157
10045;586;703;155;113;774;247;1113;102;74
10046;601;659;128;77;724;331;1022;104;134
10047;969;965;157;193;1160;424;1430;204;300
10048;794;842;215;158;952;311;1302;157;177
10049;631;665;150;110;727;309;1099;86;111
10050;761;871;187;147;938;360;1403;77;152
10051;759;832;254;128;904;305;1321;143;127
10052;1191;1178;399;281;1470;219;1973;244;152
10053;890;899;240;253;1065;231;1504;179;106
10054;462;521;152;131;582;118;845;70;68
10055;1297;1350;440;396;1441;370;2205;248;194
10056;914;971;269;120;1252;244;1339;279;267
10057;696;689;162;74;896;253;1077;145;163
10058;564;596;161;68;715;216;939;104;117
10059;812;881;255;105;1043;290;1244;236;213
10060;801;779;237;125;1009;209;1174;155;251
10061;867;967;264;130;1038;402;1585;150;99
10062;743;774;235;148;866;268;1326;90;101
10063;590;641;124;115;706;286;1085;84;62
10064;861;876;236;123;1090;288;1359;191;187
10065;798;833;264;111;1000;256;1379;139;113
10066;1059;1099;411;162;1246;339;1779;176;203
10067;944;1052;516;160;1138;182;1717;166;113
10068;805;818;370;125;949;179;1479;79;65
10069;1063;1196;443;157;1305;354;1863;151;245
10070;786;903;225;148;1028;288;1399;122;168
10071;906;939;272;175;1130;268;1661;97;87
10072;1015;1049;360;145;1242;317;1715;153;196
10073;725;790;189;121;798;407;1330;71;114
10074;822;858;249;146;972;313;1366;120;194
10075;739;757;198;140;873;285;1256;95;145
10076;1016;1111;400;87;1534;106;1821;131;175
10077;977;923;440;161;1121;178;1616;157;127
10078;1174;1187;609;158;1398;196;1992;212;157
10079;857;918;268;167;1025;315;1564;94;117
10080;1268;1244;649;168;1486;209;1564;403;545
10081;976;969;283;180;1121;361;1518;68;359
10082;1011;905;329;211;1132;244;1088;52;776
10083;1228;949;424;235;1271;247;1188;29;960
10084;809;773;228;145;943;266;1097;33;452
10085;1070;1000;341;182;1181;366;1369;50;651
10086;966;998;320;223;1044;377;1449;48;467
10087;841;888;231;180;913;405;1386;47;296
10088;785;837;196;179;941;306;1487;15;120
10089;1077;990;335;194;1214;324;1360;168;539
10090;670;742;183;147;791;291;1126;59;227
10091;953;1012;245;177;1073;470;1648;58;259
10092;707;790;95;133;939;330;1367;22;108
10093;544;544;89;90;653;256;1012;15;61
10094;1387;1403;538;145;1891;216;2119;284;387
10095;649;658;195;109;800;203;1079;84;144
10096;747;844;289;138;921;243;1370;82;139
10097;754;822;294;95;876;311;1380;76;120
10098;893;972;191;300;1119;255;1747;24;94
10099;537;576;157;129;640;187;1024;17;72
10100;742;855;225;118;845;409;1346;79;172
10101;770;735;226;125;923;231;1151;78;276
10102;1221;1332;325;200;1428;600;2206;64;283
10103;1035;1140;233;151;1176;615;1999;44;132
10104;804;854;135;196;1106;221;1572;25;61
10105;1050;1223;304;271;1260;438;2075;30;168
10106;475;529;115;65;517;307;903;18;83
10107;760;841;235;131;965;270;1474;58;69
10108;610;720;132;93;648;457;1223;34;73
10109;724;825;176;125;751;497;1331;35;183
10110;727;902;206;114;850;459;1466;23;140
10111;597;688;145;102;698;340;1118;32;135
10112;764;798;175;109;896;382;1444;29;89
10113;559;630;177;112;681;219;1022;29;138
10114;662;738;205;98;787;310;1197;38;165
10115;798;768;138;238;801;389;1198;54;314
10116;875;979;222;143;981;508;1532;81;241
10117;613;672;158;98;606;423;1133;41;111
10118;484;542;141;81;483;321;968;14;44
10119;524;608;105;77;606;344;999;18;115
10120;653;818;181;125;781;384;1189;57;225
10121;749;830;214;133;876;356;1325;53;201
10122;740;796;154;138;865;379;1434;19;83
10123;692;730;181;136;747;358;1253;37;132
10124;541;559;118;100;661;221;1014;16;70
10125;541;588;131;88;554;356;1014;10;105
10126;512;559;126;103;594;248;1000;9;62
10127;508;511;194;74;577;174;956;12;51
10128;741;847;157;130;858;443;1482;42;64
10129;589;624;119;132;742;220;1143;11;59
10130;552;639;131;80;636;344;1024;35;132
10131;546;649;106;119;678;292;1127;10;58
10132;593;677;167;98;616;389;1134;33;103
10133;793;923;190;132;844;550;1490;43;183
10134;681;839;184;97;688;551;1342;43;135
10135;589;642;157;103;619;352;1094;31;106
10136;667;702;151;100;624;494;1223;11;135
10137;757;815;176;149;822;425;1365;37;170
10138;739;812;216;154;873;308;1305;43;203
10139;794;836;178;124;889;439;1383;41;206
10140;734;837;211;147;829;384;1342;31;198
10141;514;583;135;103;537;322;993;12;92
10142;764;850;220;142;879;373;1372;34;208
10143;824;918;215;185;894;448;1470;25;247
10234;875;1012;190;173;1148;376;1682;46;159
10235;636;718;160;81;714;399;1172;68;114
10236;763;861;156;94;723;651;1445;51;128
10237;329;423;84;69;377;222;677;14;61
