SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
05036;840;913;311;226;856;360;1601;75;77
05037;628;807;248;153;699;335;1274;60;101
05038;601;713;172;117;724;301;1132;57;125
05039;713;841;271;169;743;371;1477;27;50
05040;650;805;228;151;805;271;1270;75;110
05041;932;954;274;185;1111;316;1505;109;272
05042;616;662;156;166;665;291;1102;56;120
05043;677;780;218;145;800;294;1266;71;120
05044;596;714;211;116;689;294;1173;56;81
05045;710;853;286;174;783;320;1441;55;67
05046;492;654;149;122;497;378;1084;20;42
05047;587;711;246;146;656;250;1200;47;51
05048;584;705;202;182;621;284;1192;28;69
05049;769;909;258;216;838;366;1503;76;99
05050;784;925;247;183;933;346;1519;78;112
05051;774;881;294;200;797;364;1495;82;78
05052;675;842;265;183;731;338;1395;61;61
05053;713;827;236;219;741;344;1390;59;91
05054;449;585;135;146;499;254;911;40;83
05055;676;774;241;189;664;356;1299;43;108
05056;509;724;180;111;606;336;1090;44;99
05057;807;918;222;214;842;447;1567;51;107
05058;735;864;267;167;787;378;1360;84;155
05059;709;943;237;152;875;388;1431;96;125
05060;517;632;187;145;562;255;981;69;99
05061;639;813;155;135;854;308;1201;85;166
05062;687;900;229;172;820;366;1392;104;91
05063;721;874;235;179;822;359;1418;76;101
05064;709;879;209;164;830;385;1385;87;116
05065;761;917;228;168;898;384;1435;86;157
05066;552;667;151;141;615;312;1088;53;78
05067;615;732;200;148;678;321;1163;87;97
05068;714;841;219;143;892;301;1306;122;127
05069;795;964;272;186;965;336;1503;116;140
05070;651;795;216;137;762;331;1297;69;80
05071;734;890;208;177;908;331;1363;120;141
05072;762;944;232;174;905;395;1480;92;134
05073;748;909;219;162;923;353;1422;98;137
05074;794;924;260;192;873;393;1517;103;98
05075;782;1006;263;207;899;419;1598;91;99
05076;631;760;191;138;717;345;1231;71;89
05077;657;820;242;206;722;307;1311;74;92
05078;991;1126;378;249;1077;413;1915;98;104
05079;558;686;163;158;657;266;1105;79;60
05080;603;771;193;135;774;272;1194;95;85
05081;717;903;234;172;882;332;1381;104;135
05082;781;901;238;162;956;326;1443;113;126
05083;593;708;157;115;727;302;1099;89;113
05084;581;751;174;136;727;295;1153;86;93
05085;615;707;195;110;778;239;1113;87;122
05086;612;696;185;117;774;232;1121;84;103
05087;684;865;187;156;862;344;1361;84;104
05088;819;894;205;212;967;329;1487;91;135
05089;827;914;238;176;955;372;1540;108;93
05090;881;1012;274;148;1104;367;1608;125;160
05091;676;854;203;132;836;359;1344;100;86
05092;693;861;209;182;809;354;1389;83;82
05093;506;654;151;136;601;272;1022;48;90
05094;1152;1412;403;301;1277;583;2331;124;109
05095;728;916;278;145;839;382;1461;51;132
05096;504;614;158;95;626;239;976;65;77
05097;746;843;280;158;828;323;1387;107;95
05098;684;845;212;139;866;312;1314;86;129
06001;499;636;143;74;642;276;911;85;139
06002;683;781;158;129;822;355;1200;91;173
06003;1087;1167;287;172;1313;482;1927;149;178
06004;694;748;187;123;819;313;1232;84;126
06006;464;541;157;90;543;215;923;37;45
06007;906;1025;314;182;1100;335;1707;84;140
06008;847;1101;241;176;1061;470;1667;96;185
06009;571;635;214;103;614;275;1088;74;44
06010;490;565;147;81;552;275;932;27;96
06011;601;680;163;122;627;369;1187;42;52
06012;531;589;145;76;553;346;976;75;69
06013;821;923;224;189;973;358;1475;115;154
06014;644;736;158;103;759;360;1246;51;83
06015;650;741;183;119;829;260;1168;75;148
06016;738;849;235;138;952;262;1339;79;169
06017;627;712;197;96;761;285;1161;75;103
06018;625;671;143;96;800;257;1061;135;100
06019;680;804;175;136;888;285;1256;106;122
06020;533;596;141;72;623;293;967;72;90
06021;601;739;192;136;675;337;1171;61;108
06022;664;674;164;154;710;310;1136;80;122
06023;578;650;141;101;639;347;1164;24;40
06024;708;904;210;130;826;446;1424;77;111
06025;633;793;178;121;721;406;1294;40;92
06026;467;557;98;65;560;301;889;39;96
